,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,minderjarige,munitie,aangeefster,eiseres,appellant,gedaagde,amfetamine,mes,aangever,verzoekster,verzoeker,appellante,heroïne,eiser,opgeëiste
1,moeder,wapens,terbeschikkinggestelde,verweerder,burgemeester,huurovereenkomst,mdma,letsel,mes,verweerder,voorzieningenrechter,burgemeester,hennep,verweerder,the
2,vader,vuurwapen,terbeschikkingstelling,sluiting,cbr,gehuurde,pillen,rente,letsel,voorzieningenrechter,verweerder,sluiting,telefoonnummer,eisers,overlevering
3,gi,wapen,kliniek,burgemeester,geschiktheid,kantonrechter,loods,immateriële,voorgenomen,verzoekers,sluiting,college,organisatie,gemachtigde,olw
4,kind,categorie,tbs,gemachtigde,sluiting,ontruiming,liter,weggenomen,gezicht,sluiting,burgemeester,geïntimeerde,hr,awb,eab
5,ouders,kaliber,verlenging,gedaagde,aangevallen,eiseres,xtc,isd,poging,burgemeester,voorziening,cbr,voordeel,ongegrond,to
6,gezag,iii,verpleging,awb,college,eiser,productie,voorgenomen,immateriële,13b,13b,13b,geldbedrag,sluiting,and
7,kinderen,pistool,verplichte,13b,ongegrond,ontbinding,stoffen,toebehorende,lichamelijk,voorziening,gemachtigde,aangevallen,2007,bezwaar,uitvaardigende
8,kinderrechter,patronen,zorg,voorzieningenrechter,bezwaar,sub,mda,schadevergoeding,mishandeling,bezwaar,verzoekers,ongegrond,2006,voorzieningenrechter,uitlevering
9,uithuisplaatsing,mm,beëindiging,ongegrond,alcoholmisbruik,huurder,wegenverkeerswet,aangeefster,rente,gemachtigde,awb,bijstand,rotterdam,2000,that
10,ondertoezichtstelling,rotterdam,overheidswege,bezwaar,regeling,overlast,1994,aangever,vuurwapen,beleid,bezwaar,huurovereenkomst,schiphol,geschiktheid,court
11,machtiging,vuurwapens,dwangverpleging,bibob,rijbewijs,bw,synthetische,materiële,gestoken,pand,treffen,bezwaar,bedrijf,verblijfsvergunning,autoriteit
12,omgang,geschoten,zorgmachtiging,beleid,13b,gemachtigde,bloed,mishandeling,2021,bestuursdwang,beleid,bestuursdwang,kenteken,vw,for
13,jeugdzorg,hennep,psychiater,primaire,bijstand,tekortkoming,chemicaliën,lichamelijk,weggenomen,awb,pand,pand,container,beleid,or
14,omgangsregeling,kogelpatronen,advies,vergunning,geïntimeerde,woonstad,stof,gezicht,materiële,verzoeker,bestuursrecht,appellant,witwassen,aanvraag,weigeringsgrond
15,minderjarigen,revolver,medicatie,coffeeshop,betoogt,woonbron,bestuurder,poging,slaan,treffen,bestuursdwang,ontbinding,wederrechtelijk,bestuursrecht,with
16,hulpverlening,mdma,stoornis,bestuursdwang,bestuursrechtspraak,voorzieningenrechter,voertuig,wederrechtelijke,wederrechtelijk,bestuurlijke,2021,geschiktheid,zegt,primaire,autoriteiten
17,opvoeding,doorzoeking,deskundige,bestuursrecht,besturen,omwonenden,nfi,dele,kracht,rvs,voorlopig,betoogt,belanghebbende,vreemdeling,be
18,pleegouders,amfetamine,begeleiding,sub,daartegen,burgemeester,ongeval,wederrechtelijk,raadsvrouw,sluiten,last,echtgenoot,kilogram,burgemeester,as
19,stichting,geldbedrag,wvggz,eisers,betoog,betekening,bmk,dood,wederrechtelijke,last,rvs,beleidsregel,sv,regeling,garantie
20,ouder,model,verlengen,voorziening,onrechte,ontruimen,kenteken,instelling,aangeefster,2021,bestuurlijke,zoon,cassatie,cbr,by
21,bw,heroïne,verlof,pand,motorrijtuigen,buitengerechtelijke,snelheid,gestoken,schadevergoeding,bestuursrecht,sluiten,grieven,grondgebied,inreisverbod,lidstaat
22,mondelinge,2021,instelling,exploitatievergunning,voorzieningenrechter,reconventie,personenauto,raadsvrouw,toebehorende,softdrugs,softdrugs,beleid,invoer,13b,on
23,zorgen,type,opname,state,misbruik,conventie,laboratorium,overval,wapen,handelshoeveelheid,handelshoeveelheid,kantonrechter,raadsvrouw,state,overleveringswet
24,pleeggezin,9mm,recidiverisico,apv,bestuursdwang,havensteder,motorrijtuig,vuurwapen,rotterdam,woningen,beleidsregels,betoog,2005,rvs,nederlandse
25,verzorging,dna,seksuele,bestuursrechtspraak,beleid,gedaagden,metamfetamine,schadevergoedingsmaatregel,jongen,voorlopig,rechtsmiddel,onrechte,bijnaam,bestuursrechtspraak,aanhoudingsbevel
26,jeugdhulp,schieten,huidige,beleidsregels,minister,huurvoorwaarden,ghb,psycholoog,voltooid,rapportage,rapportage,daartegen,stk,voorziening,ehrm
27,ingekomen,tas,psycholoog,rvs,enkelvoudige,sluiting,tabletten,stoornis,geschopt,verzoeksters,rijbewijs,bestuursrechtspraak,koffer,gedaagde,which
28,ontwikkeling,glock,psychotische,softdrugs,diagnose,nakoming,hennep,kracht,instelling,waarschuwing,coffeeshop,woningen,2021,rijbewijs,not
29,vrouw,automatisch,verlengd,aanvraag,coffeeshop,producties,taakstraf,vermeerderd,zware,lokalen,cbr,ontruiming,hasjiesj,psychiater,evrm
30,2021,pillen,machtiging,gedaagden,sub,bodemprocedure,besturen,doodslag,dele,rechtsmiddel,waarschuwing,schuldsaneringsregeling,2003,the,belgië
31,plaatsing,kogel,seksueel,café,psychiater,proceskosten,jerrycans,brand,doodslag,beleidsregel,woningen,bestuur,pand,proceskosten,hr
32,gecertificeerde,witwassen,medische,geschil,kantonrechter,wonen,organisatie,braak,hoorde,beleidsregels,lokalen,discusprothese,verdachten,criterium,toegestaan
33,ouderlijk,raadsvrouw,crisismaatregel,aanhef,aangehecht,ontbinden,vloeistof,klinische,noodweer,drugshandel,hoofdzaak,grief,gesprekken,aanhef,it
34,minderjarige1,voorgenomen,2021,the,vog,voorraad,speed,voldoening,schadevergoedingsmaatregel,verkoop,beleidsregel,appellanten,nj,coffeeshop,nederlands
35,grootmoeder,kenteken,nadeel,sluiten,state,stichting,ontzegging,tbs,steken,hennep,primaire,last,2004,evrm,this
