Case ID,DeeplinkUrl,GerechtelijkProductType,InformatieNietGepubliceerdMessage,InterneUrl,IsInactief,Proceduresoorten,Publicatiedatum,PublicatiedatumDate,Publicatiestatus,Rechtsgebieden,RelatieVerwijzingen,Tekstfragment,Titel,TitelEmphasis,Uitspraakdatum,UitspraakdatumType,Vindplaatsen
ECLI-NL-RBDHA-2020-1755,http://deeplink.rechtspraak.nl/uitspraak?id=ECLI:NL:RBDHA:2020:1755,uitspraak,De publicatie van de uitspraak staat gepland op 02-03-2020 om 14:14 uur,https://uitspraken.rechtspraak.nl/inziendocument?id=ECLI:NL:RBDHA:2020:1755&showbutton=true&keyword=mensenhandel,0.0,['Eerste aanleg - enkelvoudig'],02-03-2020,2020-03-02T14:14:23Z,gepubliceerd,['Bestuursrecht; Vreemdelingenrecht'],[],"Mensenhandel, aangifte mensenhandel, sepot, WBV2019/10","Rechtbank Den Haag, 20-02-2020, AWB 19/8168",ECLI:NL:RBDHA:2020:1755,20-02-2020,uitspraak,"[{'Vindplaats': 'Rechtspraak.nl', 'VindplaatsAnnotator': '', 'VindplaatsUrl': ''}]"
ECLI-NL-RBNHO-2014-5860,http://deeplink.rechtspraak.nl/uitspraak?id=ECLI:NL:RBNHO:2014:5860,uitspraak,De publicatie van de uitspraak staat gepland op 25-06-2014 om 11:40 uur,https://uitspraken.rechtspraak.nl/inziendocument?id=ECLI:NL:RBNHO:2014:5860&showbutton=true&keyword=mensenhandel,0.0,['Eerste aanleg - meervoudig'],25-06-2014,2014-06-25T11:40:15Z,gepubliceerd,['Strafrecht'],[],Onderzoek Zwaluw (mensenhandel). Integrale vrijspraak mensenhandel en deelneming aan een criminele organisatie.,"Rechtbank Noord-Holland, 28-04-2014, 15/743003-13",ECLI:NL:RBNHO:2014:5860,28-04-2014,uitspraak,"[{'Vindplaats': 'Rechtspraak.nl', 'VindplaatsAnnotator': '', 'VindplaatsUrl': ''}]"
ECLI-NL-GHARN-2010-BO8406,http://deeplink.rechtspraak.nl/uitspraak?id=ECLI:NL:GHARN:2010:BO8406,uitspraak,De publicatie van de uitspraak staat gepland op 22-12-2010 om 15:38 uur,https://uitspraken.rechtspraak.nl/inziendocument?id=ECLI:NL:GHARN:2010:BO8406&showbutton=true&keyword=mensenhandel,0.0,['Hoger beroep'],22-12-2010,2010-12-22T15:38:08Z,gepubliceerd,['Strafrecht'],[],Sneep-zaak. Mensenhandel. Misdadige organisatie. Toetsingskader mensenhandel. Bewijswaardering. Geheimhoudersgesprekken en strafvermindering. Beoordeling rechtsmacht op grond van art. 2 Sr.,"Gerechtshof Arnhem, 20-12-2010, 21-003146-08",ECLI:NL:GHARN:2010:BO8406,20-12-2010,uitspraak,"[{'Vindplaats': 'Rechtspraak.nl', 'VindplaatsAnnotator': '', 'VindplaatsUrl': ''}]"
ECLI-NL-RBSHE-2010-BL5303,http://deeplink.rechtspraak.nl/uitspraak?id=ECLI:NL:RBSHE:2010:BL5303,uitspraak,De publicatie van de uitspraak staat gepland op 25-02-2010 om 13:22 uur,https://uitspraken.rechtspraak.nl/inziendocument?id=ECLI:NL:RBSHE:2010:BL5303&showbutton=true&keyword=mensenhandel,0.0,['Eerste aanleg - meervoudig'],25-02-2010,2010-02-25T13:22:47Z,gepubliceerd,['Strafrecht'],[],"Vrijspraak voor primair onder 1 tenlastegelegde  mensenhandel, omdat met name niet bewezen is dat er enige vorm van dwang of geweld heeft plaatsgevonden.
Wel veroordeling voor poging tot mensenhandel en mensenhandel (voor wat betreft het onder 2 tenlastegelegde).
Hiervoor heeft de rechtbank een deels voorwaardelijke gevangenisstraf en een werkstraf opgelegd, omdat er sprake is van een van de minst ernstige vormen van mensenhandel.","Rechtbank 's-Hertogenbosch, 19-02-2010, 01.839147-08",ECLI:NL:RBSHE:2010:BL5303,19-02-2010,uitspraak,"[{'Vindplaats': 'Rechtspraak.nl', 'VindplaatsAnnotator': '', 'VindplaatsUrl': ''}]"
ECLI-NL-RBDHA-2019-1894,http://deeplink.rechtspraak.nl/uitspraak?id=ECLI:NL:RBDHA:2019:1894,uitspraak,De publicatie van de uitspraak staat gepland op 01-03-2019 om 16:40 uur,https://uitspraken.rechtspraak.nl/inziendocument?id=ECLI:NL:RBDHA:2019:1894&showbutton=true&keyword=mensenhandel,0.0,['Eerste aanleg - meervoudig'],01-03-2019,2019-03-01T16:40:58Z,gepubliceerd,['Strafrecht'],[],Mensenhandel. Gevangenisstraf van 32 maanden voor mensenhandel en mishandelingen. Verwerping verweer ten aanzien van de geldigheid van de dagvaarding. Vrijspraak verkrachtingen.,"Rechtbank Den Haag, 01-03-2019, 09/767169-18",ECLI:NL:RBDHA:2019:1894,01-03-2019,uitspraak,"[{'Vindplaats': 'Rechtspraak.nl', 'VindplaatsAnnotator': '', 'VindplaatsUrl': ''}]"
ECLI-NL-GHARN-2010-BO8394,http://deeplink.rechtspraak.nl/uitspraak?id=ECLI:NL:GHARN:2010:BO8394,uitspraak,De publicatie van de uitspraak staat gepland op 22-12-2010 om 15:05 uur,https://uitspraken.rechtspraak.nl/inziendocument?id=ECLI:NL:GHARN:2010:BO8394&showbutton=true&keyword=mensenhandel,0.0,['Hoger beroep'],22-12-2010,2010-12-22T15:05:54Z,gepubliceerd,['Strafrecht'],[],Sneep-zaak. Mensenhandel. Misdadige organisatie. Toetsingskader mensenhandel. Bewijswaardering. Geheimhoudersgesprekken en strafvermindering. Beoordeling rechtsmacht op grond van art. 6 Sr. Oplegging geldboete naast gevangenisstraf,"Gerechtshof Arnhem, 20-12-2010, 21-003157-08",ECLI:NL:GHARN:2010:BO8394,20-12-2010,uitspraak,"[{'Vindplaats': 'Rechtspraak.nl', 'VindplaatsAnnotator': '', 'VindplaatsUrl': ''}]"
ECLI-NL-GHARN-2010-BO8400,http://deeplink.rechtspraak.nl/uitspraak?id=ECLI:NL:GHARN:2010:BO8400,uitspraak,De publicatie van de uitspraak staat gepland op 22-12-2010 om 15:14 uur,https://uitspraken.rechtspraak.nl/inziendocument?id=ECLI:NL:GHARN:2010:BO8400&showbutton=true&keyword=mensenhandel,0.0,['Hoger beroep'],22-12-2010,2010-12-22T15:14:39Z,gepubliceerd,['Strafrecht'],[],Sneep-zaak. Mensenhandel. Misdadige organisatie. Toetsingskader mensenhandel. Gebruik samenvattingen taps voor bewijs. Bewijswaardering. Dvd-opnamen getuigenverhoren. Geheimhoudersgesprekken en strafvermindering. Oplegging geldboete naast gevangenisstraf,"Gerechtshof Arnhem, 20-12-2010, 21-003168-08",ECLI:NL:GHARN:2010:BO8400,20-12-2010,uitspraak,"[{'Vindplaats': 'Rechtspraak.nl', 'VindplaatsAnnotator': '', 'VindplaatsUrl': ''}]"
ECLI-NL-OGEAC-2019-358,http://deeplink.rechtspraak.nl/uitspraak?id=ECLI:NL:OGEAC:2019:358,uitspraak,De publicatie van de uitspraak staat gepland op 26-05-2020 om 10:23 uur,https://uitspraken.rechtspraak.nl/inziendocument?id=ECLI:NL:OGEAC:2019:358&showbutton=true&keyword=mensenhandel,0.0,['Eerste aanleg - enkelvoudig'],26-05-2020,2020-05-26T10:23:59Z,gepubliceerd,['Strafrecht'],[],mensenhandel,"Gerecht in eerste aanleg van Curaçao, 27-09-2019, 500.00412/18",ECLI:NL:OGEAC:2019:358,27-09-2019,uitspraak,"[{'Vindplaats': 'Rechtspraak.nl', 'VindplaatsAnnotator': '', 'VindplaatsUrl': ''}]"
ECLI-NL-RBNHO-2019-6071,http://deeplink.rechtspraak.nl/uitspraak?id=ECLI:NL:RBNHO:2019:6071,uitspraak,De publicatie van de uitspraak staat gepland op 24-03-2020 om 11:40 uur,https://uitspraken.rechtspraak.nl/inziendocument?id=ECLI:NL:RBNHO:2019:6071&showbutton=true&keyword=mensenhandel,0.0,['Eerste aanleg - meervoudig'],24-03-2020,2020-03-24T11:40:46Z,gepubliceerd,['Strafrecht'],[],Mensenhandel.,"Rechtbank Noord-Holland, 11-07-2019, 15/871958-17",ECLI:NL:RBNHO:2019:6071,11-07-2019,uitspraak,"[{'Vindplaats': 'Rechtspraak.nl', 'VindplaatsAnnotator': '', 'VindplaatsUrl': ''}]"
ECLI-NL-RBNHO-2019-6072,http://deeplink.rechtspraak.nl/uitspraak?id=ECLI:NL:RBNHO:2019:6072,uitspraak,De publicatie van de uitspraak staat gepland op 24-03-2020 om 10:47 uur,https://uitspraken.rechtspraak.nl/inziendocument?id=ECLI:NL:RBNHO:2019:6072&showbutton=true&keyword=mensenhandel,0.0,['Eerste aanleg - meervoudig'],24-03-2020,2020-03-24T10:47:16Z,gepubliceerd,['Strafrecht'],[],Mensenhandel.,"Rechtbank Noord-Holland, 11-07-2019, 15/810184-17",ECLI:NL:RBNHO:2019:6072,11-07-2019,uitspraak,"[{'Vindplaats': 'Rechtspraak.nl', 'VindplaatsAnnotator': '', 'VindplaatsUrl': ''}]"
