,Case ID,K means cluster
0,ECLI-NL-RBNNE-2021-5018,Production
1,ECLI-NL-RBZUT-2003-AH9598,Production
2,ECLI-NL-RBZWB-2020-2646,Production
3,ECLI-NL-GHAMS-2019-1601,Selling
4,ECLI-NL-GHAMS-2019-1602,Selling
5,ECLI-NL-RBAMS-2021-1756,21
6,ECLI-NL-RBNNE-2021-5026,Production
7,ECLI-NL-RBMNE-2021-4252,5
8,ECLI-NL-RBAMS-2019-4296,Selling
9,ECLI-NL-RBAMS-2017-9452,42
10,ECLI-NL-RBROT-2019-4922,5
11,ECLI-NL-OGHACMB-2020-78,19
12,ECLI-NL-OGHACMB-2020-82,19
13,ECLI-NL-OGEAC-2018-352,Transport
14,ECLI-NL-OGEAC-2018-353,Transport
15,ECLI-NL-OGHACMB-2017-257,Transport
16,ECLI-NL-HR-2007-BA1113,Money laundering
17,ECLI-NL-PHR-2007-BA1113,Money laundering
18,ECLI-NL-RBAMS-2019-7573,42
19,ECLI-NL-RBDHA-2019-9384,Selling
20,ECLI-NL-OGEAC-2018-354,Transport
21,ECLI-NL-OGEABES-2018-48,Transport
22,ECLI-NL-GHAMS-2018-2662,27
23,ECLI-NL-OGHACMB-2018-276,Transport
24,ECLI-NL-OGHACMB-2018-269,Transport
25,ECLI-NL-RBAMS-2017-9087,Transport
26,ECLI-NL-RBAMS-2017-9085,Transport
27,ECLI-NL-RBAMS-2017-9086,Transport
28,ECLI-NL-RBAMS-2017-9088,Transport
29,ECLI-NL-RBAMS-2017-9089,Transport
30,ECLI-NL-RBAMS-2017-9090,Transport
31,ECLI-NL-RBAMS-2017-9091,Transport
32,ECLI-NL-RBAMS-2017-9092,Transport
33,ECLI-NL-RBMNE-2014-7289,Production
34,ECLI-NL-RBZLY-2012-BW3231,42
35,ECLI-NL-RBUTR-2008-BG6691,42
36,ECLI-NL-RBROT-2017-10355,Production
37,ECLI-NL-RBAMS-2016-6938,67
38,ECLI-NL-RBGEL-2013-BZ7302,42
39,ECLI-NL-GHARL-2014-3990,54
40,ECLI-NL-RBAMS-2021-571,42
41,ECLI-NL-GHAMS-2019-2802,42
42,ECLI-NL-OGHACMB-2019-157,19
43,ECLI-NL-OGHACMB-2018-277,Transport
44,ECLI-NL-RBLEE-2010-BL3692,19
45,ECLI-NL-RBNNE-2013-1693,42
46,ECLI-NL-RBGEL-2021-554,27
47,ECLI-NL-OGEAA-2018-802,Transport
48,ECLI-NL-OGEAA-2017-812,Transport
49,ECLI-NL-OGEAA-2017-813,Transport
50,ECLI-NL-GHAMS-2017-290,21
51,ECLI-NL-GHAMS-2016-3483,21
52,ECLI-NL-GHAMS-2016-3484,21
53,ECLI-NL-GHAMS-2016-3487,21
54,ECLI-NL-RBAMS-2015-3865,42
55,ECLI-NL-RBUTR-2012-BX4202,Selling
56,ECLI-NL-RBMID-2005-AU5995,42
57,ECLI-NL-RBNNE-2020-2386,3
58,ECLI-NL-RBMNE-2013-BZ4568,Production
59,ECLI-NL-RBROT-2019-8233,42
60,ECLI-NL-RBOVE-2021-4508,Selling
61,ECLI-NL-RBDHA-2020-11915,0
62,ECLI-NL-RBNHO-2020-6998,5
