;country;2011 population;2012 population;2013 population;2014 population;2015 population;2016 population;2017 population;2011 mean;2012 mean;2013 mean;2014 mean;2015 mean;2016 mean;2017 mean;2011 min;2012 min;2013 min;2014 min;2015 min;2016 min;2017 min;2011 max;2012 max;2013 max;2014 max;2015 max;2016 max;2017 max;2011 sd;2012 sd;2013 sd;2014 sd;2015 sd;2016 sd;2017 sd
Innsbruck;AT;;;;;;262780;261503;;;;;;7.560095416;9.877126492;;;;;;5.265887954;7.077676744;;;;;;11.77953045;13.34426056;;;;;;2.477187962;2.472914778
Klosterneuburg;AT;;;;;30000;;;;;;;3.605508995;;;;;;;2.307068817;;;;;;;5.022508961;;;;;;;0.886422464;;
Adelaide (4);AU;;;;;;;1133475;;;;;;;34.35881045;;;;;;;29.8943247;;;;;;;40.49536116;;;;;;;4.767977241
Canberra;AU;;;;338888;338888;;390706;;;;11.40261365;11.69187743;;16.62669974;;;;8.30175648;8.767646278;;12.45031892;;;;14.29640244;14.92353948;;21.86304442;;;;2.286213405;2.17207941;;4.003809718
Toowoomba;AU;;;;125000;125000;;125000;;;;6.113101787;9.805292281;;18.7752929;;;;4.815633375;8.218788992;;17.26501651;;;;8.318790351;11.09153582;;20.41508902;;;;1.15179485;1.229787242;;1.158793444
Sarajevo;BA;;;130000;;;150000;;;;4.008231911;;;10.19137993;;;;2.109181141;;;7.650437515;;;;6.086297215;;;13.10831541;;;;1.374558565;;;2.168781961;
Antwerp (2);BE;;344094;344094;344094;344094;344094;;;25.86854395;31.54281746;27.35345357;31.92178162;31.96996677;;;20.19020036;27.59780985;19.36294317;30.06898565;27.60409066;;;28.15589449;38.78124239;35.99977443;36.38439468;43.22012653;;;2.703397951;4.568647106;5.307370754;2.0831014;5.695886563;
Antwerp D;BE;;213876;213876;213876;213876;213876;;;18.06126521;24.08999262;20.71987756;27.12491702;21.79725266;;;14.37757294;19.42330389;15.3526486;24.92787168;19.22432849;;;21.64235525;35.75546408;31.42234693;29.15578806;25.53410366;;;2.677327225;5.997479537;5.922564171;1.736121055;2.308224294;
Antwerp Z;BE;117200;130218;130218;130218;130218;130218;130218;43.83113289;38.69157569;43.78367791;38.24874225;39.80037148;48.67809776;49.74984619;34.98198259;29.73712555;38.73787559;25.94963441;31.92625515;35.92362526;40.02523318;54.75271212;45.42878674;55.91229648;53.7779391;48.25698887;75.33274953;71.27919205;7.402004288;5.295723647;6.022128732;8.830211755;5.134247731;13.11202526;10.57611049
Boom;BE;;;;;;;30600;;;;;;;26.82338461;;;;;;;20.83698117;;;;;;;33.73204213;;;;;;;4.3574345
Brussels;BE;1027300;953987;953987;;953987;953987;953987;8.879488131;9.546409022;10.16126564;;21.32240705;18.70306461;17.579115;5.541053074;7.504508548;7.998147713;;16.09110936;13.89289321;14.37707379;12.05411426;13.2996937;13.11721384;;28.94071352;24.69638965;23.46943699;2.448861555;2.140300659;1.696163405;;4.827922587;4.148146729;3.3259245
Geraardsbergen;BE;;;29047;29047;29047;;;;;1.080372141;2.942551374;14.35231466;;;;;0.645993836;1.726289039;11.64361246;;;;;1.481152883;3.964354363;16.62784123;;;;;0.330049512;0.786800926;1.583920044;;
Koksijde;BE;;;78441;;78441;78441;78441;;;3.728698246;;4.496194807;5.199988082;5.604198908;;;2.274261363;;3.705187225;2.471510277;4.131214988;;;4.740214076;;5.94276941;12.69497437;6.80357205;;;0.817325447;;0.775110711;3.378789272;1.02760161
Merchtem;BE;;;;;;;16200;;;;;;;10.23139529;;;;;;;8.673990486;;;;;;;12.062708;;;;;;;1.336911444
Ninove;BE;;;36179;36179;36179;;;;;10.51289683;12.00797383;10.65821206;;;;;8.50198544;8.974583304;8.657346152;;;;;13.15911544;17.12838312;13.37000322;;;;;2.27954085;3.176002709;1.650733676;;
Oostende;BE;;;;;159000;159000;159000;;;;;13.16463635;14.05199588;18.98563488;;;;;11.44023406;11.21946878;15.8907236;;;;;16.41578069;21.23379682;21.85187714;;;;;1.692661111;3.483786786;2.360619409
Ruisbroek;BE;;;;;;;36000;;;;;;;12.45978396;;;;;;;9.77355914;;;;;;;15.73875969;;;;;;;1.863047789
Sofia;BG;;;;;;1200000;;;;;;;3.166588097;;;;;;;2.320434428;;;;;;;4.157148334;;;;;;;0.660187355;
Granby;CA;;;;55255;55255;;;;;;4.65848858;30.03860819;;;;;;3.143717706;26.05447058;;;;;;6.453220309;39.0975086;;;;;;1.039749245;4.561970401;;
Montreal;CA;;;;1958257;1958257;;;;;;5.916751381;25.97510199;;;;;;4.541518618;21.11916841;;;;;;7.069470094;33.14339895;;;;;;0.889919883;4.757231605;;
Basel;CH;0;260000;260000;260000;260000;260000;260000;;10.72897739;19.18483839;18.90054839;7.101942528;19.14600432;25.12504147;;8.838488834;16.04593294;16.48381488;2.834662302;16.26645605;16.50089513;;13.80931017;22.81697408;26.92291116;18.99977483;23.90129741;42.27806549;;1.83024495;2.856181;3.668584709;5.582082291;3.195135811;9.178606452
Berne;CH;0;206655;206655;206655;206655;206655;206655;;13.15980008;12.54476379;15.42775007;10.82384963;14.30043177;24.60231302;;11.19152633;9.436011866;13.98988892;8.571721982;12.13489376;14.93849529;;15.19740668;19.69808088;17.73683499;15.69750349;17.2074887;32.85851445;;1.505254866;3.434319138;1.186312515;2.372701825;1.93789104;6.333444831
Biel;CH;;;;82285;;;;;;;11.01995293;;;;;;;8.398847649;;;;;;;14.40186652;;;;;;;2.139167929;;;
Chur;CH;;;;52800;52800;;;;;;5.638610854;7.993229716;;;;;;4.441091002;5.87197318;;;;;;8.191770316;12.68416074;;;;;;1.443236768;2.309599745;;
Geneva;CH;0;410486;410486;417200;417200;417200;417200;;14.8430987;14.22014918;16.98970707;17.56934979;19.69084534;32.28220039;;11.14648617;10.39072726;13.12241911;13.48251408;16.10864625;22.90615064;;19.97927521;25.53354428;24.26820914;23.59750822;24.81876685;47.13880853;;2.9838368;5.694804952;4.025360146;3.798118288;3.755314243;8.811932422
Lausanne;CH;;;;220000;220000;;;;;;12.6773202;13.85948522;;;;;;9.487408138;9.655448076;;;;;;19.91193658;19.93681658;;;;;;3.763208771;4.304671574;;
Lugano;CH;;;;103561;103561;103561;;;;;8.787061578;8.533529539;13.78896683;;;;;6.763703313;7.589084517;11.52182557;;;;;11.00637748;8.967734984;17.90162364;;;;;1.372959405;0.474739147;2.233233987;
Luzern;CH;;;;174800;174800;;;;;;14.56684433;16.29322499;;;;;;10.75433931;10.99954443;;;;;;25.59021991;34.08049325;;;;;;5.655056385;8.079485819;;
