,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,eiseres,minderjarige,terbeschikkinggestelde,verzoeker,witwassen,appellante,hennepplanten,seksuele,wegenverkeerswet,aangeefster,schiphol,gedaagde,loods,eiser,mes,gerecht,appellant,opgeëiste,isd,verzoekster
1,sluiting,gi,terbeschikkingstelling,voorzieningenrechter,xtc,sluiting,verplichte,uitbuiting,bloed,seksuele,koffer,huurovereenkomst,container,eisers,gestoken,aruba,cbr,overlevering,overval,voorzieningenrechter
2,gedaagde,ouders,kliniek,sluiting,hasjiesj,college,hennepkwekerij,prostitutie,snelheid,vagina,haarlemmermeer,gehuurde,liter,awb,steken,landsverordening,sluiting,olw,braak,verzoekers
3,13b,gezag,verlenging,13b,belanghebbende,geïntimeerde,zorgmachtiging,penis,ongeval,keel,invoer,kantonrechter,synthetische,sluiting,doodslag,curaçao,geschiktheid,eab,brand,sluiting
4,awb,kinderrechter,verpleging,verzoekers,geldbedragen,13b,wvggz,seks,motorrijtuig,seks,luchthaven,ontruiming,chemicaliën,voorzieningenrechter,scherp,1960,aangevallen,uitvaardigende,geschoten,13b
5,voorzieningenrechter,uithuisplaatsing,beëindiging,awb,coffeeshop,cbr,elektriciteit,mensenhandel,besturen,seksueel,koerier,ontbinding,bmk,verblijfsvergunning,puntig,opiumlandsverordening,college,uitlevering,dna,bestuursdwang
6,bibob,ondertoezichtstelling,tbs,bestuursdwang,bijnaam,aangevallen,planten,bereikt,ontzegging,bewustzijn,verspreiding,eiseres,jerrycans,geschiktheid,hals,boot,13b,autoriteit,eigening,verzoeker
7,primaire,machtiging,overheidswege,voorlopig,kaliber,bijstand,geteeld,overwicht,bloedonderzoek,penis,dossierparagraaf,huurder,metamfetamine,vw,noodweer,kustwacht,alcoholmisbruik,weigeringsgrond,pistool,awb
8,coffeeshop,omgang,dwangverpleging,rvs,politierechter,huurovereenkomst,crisismaatregel,seksueel,verkeersongeval,verkrachting,uitspraakdatum,eiser,zoutzuur,gedaagde,tbs,bonaire,rijbewijs,garantie,fiets,bestuurlijke
9,vergunning,jeugdzorg,verlengen,bestuurlijke,stk,bestuursdwang,kwekerij,ontuchtige,wvw,binnendringen,stk,tekortkoming,vloeistof,aanvraag,rug,naf,bijstand,autoriteiten,doodslag,rvs
10,bestuursdwang,kind,verlof,handelshoeveelheid,poeder,appellant,machtiging,273f,rijbewijs,mes,dossierpagina,bw,laboratorium,vreemdeling,beroven,vuurwapenverordening,betoogt,lidstaat,dreigend,handelshoeveelheid
11,exploitatievergunning,omgangsregeling,medicatie,beleidsregels,goednummer,beleidsregel,telen,prostitutiewerkzaamheden,bestuurd,mond,vliegtuig,woonstad,vervaardiging,primaire,stekende,vaartuig,geïntimeerde,overleveringswet,hetzij,voorlopig
12,rvs,hulpverlening,verlengd,coffeeshop,kind,betoogt,mondelinge,vagina,microgram,tbs,bagage,woonbron,schuur,13b,terbeschikkingstelling,bes,besturen,court,tbs,verzoeksters
13,gedaagden,opvoeding,recidiverisico,rijbewijs,cliënt,ontbinding,accommodatie,bewogen,aanrijding,mishandeld,douane,voorzieningenrechter,dna,cbr,keel,curatele,bestuursdwang,aanhoudingsbevel,bereik,waarschuwing
14,aanvraag,mondelinge,proefverlof,waarschuwing,verborgen,geschiktheid,zorgplan,klanten,motorrijtuigen,dna,haarlem,omwonenden,aceton,inreisverbod,borst,boord,voorzieningenrechter,belgië,mes,lokalen
15,café,jeugdhulp,resocialisatie,lokalen,bolletjes,echtgenoot,teelt,prostituee,rijbevoegdheid,feitelijkheid,suriname,ontruimen,voorbereidingshandelingen,rvs,gesneden,bijnaam,motorrijtuigen,toegestaan,jeugddetentie,beleidsregel
16,beleidsregels,bw,fpc,beleidsregel,beslaglijst,grieven,enexis,kwetsbare,tegenonderzoek,geduwd,ingevoerde,buitengerechtelijke,containers,rijbewijs,aanranding,bereiding,enkelvoudige,polen,geschopt,perceel
17,apv,pleegouders,verlengingsadvies,primaire,inspecteur,kantonrechter,verzoekschrift,voortvloeiend,politierechter,bed,pakketten,betekening,terrein,criterium,buik,centro,minister,nationaliteit,beroofd,beleidsregels
18,beleidsregel,ouder,beëindigd,hoofdzaak,ghb,ontruiming,medicatie,meisje,liter,pijn,koeriers,gedaagden,invoer,coffeeshop,dreigend,korps,aangehecht,uitgevaardigd,aangeefster,primaire
