,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
0,verplichte,verzoeker,eiser,overval,opgeëiste,container,xtc,cbr,hennepplanten,mes,coffeeshop,belanghebbende,aangeefster,kaliber,appellant,ontneming,wegenverkeerswet,appellante,isd,eiseres,schiphol,stk,minderjarige,verzoekster,terbeschikkinggestelde,tbs,seksuele,loods,gedaagde,bijnaam
1,zorgmachtiging,voorzieningenrechter,eisers,braak,overlevering,invoer,witwassen,appellant,hennepkwekerij,gestoken,coffeeshops,inspecteur,vagina,pistool,sluiting,berekening,snelheid,sluiting,stelselmatige,sluiting,koffer,kl,gi,voorzieningenrechter,terbeschikkingstelling,terbeschikkingstelling,uitbuiting,liter,huurovereenkomst,pag
2,wvggz,sluiting,awb,brand,olw,containers,politierechter,geschiktheid,elektriciteit,steken,hasjiesj,aanslag,seksuele,geschoten,college,36e,bloed,college,daders,gedaagde,gerecht,zaktelefoon,ouders,verzoekers,kliniek,geschopt,prostitutie,synthetische,gehuurde,zaaksdossier
3,crisismaatregel,13b,sluiting,eigening,eab,loods,hasjiesj,alcoholmisbruik,planten,scherp,ingezetenencriterium,inkomen,keel,patronen,aangevallen,geschat,ongeval,geïntimeerde,plaatsing,13b,haarlemmermeer,telefoontoestel,gezag,sluiting,verlenging,keel,penis,chemicaliën,kantonrechter,sms
4,mondelinge,verzoekers,voorzieningenrechter,bereik,uitvaardigende,antwerpen,geldbedragen,rijbewijs,geteeld,doodslag,gedoogbeleid,belastbaar,seks,mm,13b,medeveroordeelde,motorrijtuig,13b,38m,voorzieningenrechter,aruba,witwassen,kinderrechter,13b,verpleging,deskundigen,seks,bmk,ontruiming,tapgesprek
5,machtiging,awb,verblijfsvergunning,jeugddetentie,uitlevering,lading,kind,besturen,kwekerij,puntig,ingezetenen,ib,seksueel,vuurwapens,bijstand,schatting,besturen,aangevallen,voortzetting,awb,invoer,goednummer,uithuisplaatsing,bestuursdwang,beëindiging,doodslag,mensenhandel,jerrycans,ontbinding,belt
6,accommodatie,bestuursdwang,geschiktheid,hetzij,autoriteit,terrein,ghb,motorrijtuigen,telen,noodweer,criterium,omzet,bewustzijn,schieten,geïntimeerde,uitgaven,ontzegging,bijstand,fiets,bibob,curaçao,beslaglijst,ondertoezichtstelling,verzoeker,tbs,mes,bereikt,metamfetamine,eiseres,gebruiker
7,zorgplan,voorlopig,vw,inklimming,weigeringsgrond,ect,cliënt,diagnose,enexis,hals,eisers,inkomstenbelasting,penis,doodslag,bestuursdwang,genoten,bloedonderzoek,huurovereenkomst,tussentijdse,primaire,luchthaven,nokia,machtiging,awb,overheidswege,hals,overwicht,vloeistof,huurder,ovc
8,verzoekschrift,rvs,gedaagde,fiets,garantie,ananassen,mda,ministeriële,stroom,rug,checkpoint,awr,verkrachting,kogel,betoogt,opbrengst,verkeersongeval,bestuursdwang,beëindiging,bestuursdwang,verspreiding,schiphol,omgang,bestuurlijke,dwangverpleging,schoppen,seksueel,zoutzuur,eiser,nn
9,medicatie,bestuurlijke,aanvraag,verbreking,autoriteiten,vrachtwagen,machtiging,rijvaardigheid,verbreking,stekende,gedoogde,navorderingsaanslag,binnendringen,kogelpatronen,kantonrechter,ontnemingsvordering,wvw,appellant,38s,vergunning,koerier,koffer,jeugdzorg,rvs,verlengen,mishandeld,ontuchtige,laboratorium,tekortkoming,tapgesprekken
