,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
0,container,verzoekster,hennep,mes,opgeëiste,cbr,verzoeker,isd,verzoekers,munitie,amfetamine,aangeefster,eiser,minderjarige,gedaagde,telefoonnummer,terbeschikkinggestelde,eiseres,hr,aangever,appellant,mdma,heroïne,appellante,belanghebbende
1,schiphol,voorzieningenrechter,hennepplanten,letsel,overlevering,appellant,voorzieningenrechter,weggenomen,voorzieningenrechter,wapens,loods,seksuele,verweerder,moeder,huurovereenkomst,bijnaam,terbeschikkingstelling,verweerder,voordeel,mes,burgemeester,pillen,wegenverkeerswet,burgemeester,inspecteur
2,koffer,verweerder,hasjiesj,lichamelijk,olw,geschiktheid,verweerder,toebehorende,verweerder,vuurwapen,productie,vagina,eisers,vader,gehuurde,zegt,kliniek,sluiting,wederrechtelijk,letsel,sluiting,xtc,1994,sluiting,aanslag
3,invoer,sluiting,coffeeshop,gestoken,eab,alcoholmisbruik,sluiting,dele,sluiting,wapen,liter,seks,gemachtigde,gi,kantonrechter,organisatie,verlenging,burgemeester,geldbedrag,voorgenomen,college,amfetamine,snelheid,college,inkomen
4,grondgebied,burgemeester,pand,tbs,uitvaardigende,regeling,burgemeester,wederrechtelijke,burgemeester,categorie,synthetische,seksueel,awb,kind,eiseres,kenteken,verpleging,gemachtigde,2007,gezicht,aangevallen,mda,bloed,geïntimeerde,belastbaar
5,haarlemmermeer,voorziening,hennepkwekerij,mishandeling,uitlevering,rijbewijs,voorziening,overval,verzoeker,kaliber,mdma,penis,ongegrond,ouders,ontruiming,sms,beëindiging,gedaagde,2006,poging,13b,tabletten,bestuurder,13b,ib
6,stof,13b,organisatie,voorgenomen,autoriteit,besturen,13b,braak,13b,pistool,chemicaliën,keel,sluiting,gezag,eiser,gesprekken,tbs,awb,sv,immateriële,ongegrond,ghb,ongeval,aangevallen,omzet
7,rotterdam,gemachtigde,softdrugs,brand,weigeringsgrond,motorrijtuigen,gemachtigde,rente,voorziening,iii,bmk,letsel,voorzieningenrechter,kinderen,sub,heroïne,overheidswege,13b,cassatie,rente,bijstand,speed,voertuig,bijstand,inkomstenbelasting
8,bedrijf,bezwaar,coffeeshops,rente,garantie,misbruik,awb,eigening,pand,patronen,stoffen,immateriële,2000,kinderrechter,ontbinding,tapgesprek,dwangverpleging,voorzieningenrechter,gerecht,mishandeling,geïntimeerde,hennep,personenauto,huurovereenkomst,awr
9,kilogram,beleid,geteeld,immateriële,autoriteiten,diagnose,bezwaar,wederrechtelijk,bestuursdwang,mm,jerrycans,bewustzijn,bezwaar,uithuisplaatsing,huurder,belt,advies,ongegrond,nj,lichamelijk,bezwaar,mdea,motorrijtuig,ongegrond,navorderingsaanslag
10,pakketten,treffen,planten,stoornis,lidstaat,ministeriële,treffen,vuurwapen,bezwaar,geschoten,metamfetamine,mishandeling,verblijfsvergunning,ondertoezichtstelling,overlast,gebruiker,deskundige,bezwaar,2005,vuurwapen,bestuursdwang,taakstraf,besturen,bezwaar,premie
11,douane,bestuursdwang,elektriciteit,gezicht,overleveringswet,psychiater,beleid,aangever,awb,rotterdam,vloeistof,rente,geschiktheid,omgang,bw,verdachten,verlengen,bibob,witwassen,2021,beleid,poeder,ontzegging,bestuursdwang,bewijslast
12,stk,pand,taakstraf,terbeschikkingstelling,court,rijvaardigheid,pand,toegang,verzoekster,vuurwapens,zoutzuur,verkrachting,vw,machtiging,gemachtigde,vraagt,verlof,beleid,organisatie,gestoken,betoogt,ethyl,rijden,pand,boete
13,luchthaven,2021,bedrijf,dood,aanhoudingsbevel,ongeldigverklaring,bestuursrecht,bereik,beleid,kogelpatronen,laboratorium,binnendringen,beleid,jeugdzorg,tekortkoming,zaaksdossier,begeleiding,primaire,2003,slaan,coffeeshop,nfi,stof,appellant,inkomsten
14,verspreiding,awb,kilogram,psycholoog,nederlandse,keurend,verzoekers,fiets,gemachtigde,revolver,vervaardiging,zei,aanvraag,omgangsregeling,woonstad,nn,psychiater,vergunning,seksuele,materiële,sub,organisatie,rotterdam,ontbinding,volksverzekeringen
15,koerier,rvs,uren,psychiater,belgië,wederpartij,bestuursdwang,hetzij,treffen,mdma,schuur,mes,vreemdeling,hulpverlening,woonbron,tapgesprekken,medicatie,coffeeshop,2004,weggenomen,kantonrechter,sin,bloedonderzoek,echtgenoot,cassatie
16,dossierparagraaf,bestuurlijke,kwekerij,poging,toegestaan,ongeldig,voorlopig,verschaft,bestuurlijke,geldbedrag,kenteken,gezicht,bestuursrecht,minderjarigen,voorzieningenrechter,ordner,verlengd,bestuursrecht,sr,wederrechtelijk,pand,2c,gereden,beleidsregel,bezwaar
