,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69
0,militaire,isd,appellante,verzoekers,fiets,gedaagde,prostitutie,verweerster,mda,zorginstelling,pakket,pag,ordner,verpleging,noodweer,container,penis,belanghebbende,stk,curaçao,eiseres,kantonrechter,telastgelegde,invrijheidstelling,gi,vog,vreemdeling,ontneming,mercedes,chemicaliën,lokalen,koffer,verzoekster,verplichte,bmk,terbeschikkinggestelde,gerecht,gemeen,coffeeshops,inklimming,opgeëiste,uwv,tabletten,zaaksdossier,schuldsaneringsregeling,vuurwerk,klager,scooter,ghb,portemonnee,beleidsregel,apv,kogel,voornaam,goednummer,overval,snelheid,pleegplaats,slachtoffer1,appellanten,coffeeshop,ovc,elektriciteit,geïntimeerde,eisers,bloedonderzoek,bolletjes,cbr,bitcoins,jeugddetentie
1,militair,stelselmatige,bijstand,verzoekster,fietsen,kantonrechter,uitbuiting,verzoekster,ethyl,vernield,engeland,tabletten,alias,overheidswege,hals,containers,vagina,inspecteur,kl,boot,gedaagde,werknemer,telastlegging,herroeping,kinderrechter,terugkijktermijn,verblijfsvergunning,36e,dozen,bmk,woonwagen,haarlemmermeer,verzoeksters,zorgmachtiging,vloeistof,verpleging,aruba,duchten,coffeeshop,inbraak,overlevering,verzekeringsarts,haarlemmermeer,zd,schuldenaar,ontploffing,uitlevering,hiv,gbl,schoppen,beleidsregels,exploitatievergunning,schot,kinderrechter,stk,overvallen,ongeval,pl0100,slachtoffer2,bijstand,coffeeshops,koerier,planten,appellante,eiseres,tegenonderzoek,wederpartij,geschiktheid,verhuld,jeugdreclassering
2,defensie,38m,beleidsregel,beleidsregels,gazelle,ontruiming,mensenhandel,kantonrechter,mdea,zorgverlener,hashish,doornummering,oplegger,dwangverpleging,keel,antwerpen,seksueel,aanslag,telefoontoestel,schip,bibob,omgang,telastgelegd,invrijheidsstelling,uithuisplaatsing,staatssecretaris,inreisverbod,geschat,bus,zoutzuur,handhavingsbeleid,bagage,beleidsregel,wvggz,metamfetamine,overheidswege,landsverordening,brandstichting,ingezetenencriterium,verbreking,olw,wajong,binnentreden,tapgesprek,fw,cobra,bopz,besmet,hydroxyboterzuur,gestompt,lokalen,vergunning,kogels,nn,pl0900,kassa,motorrijtuig,speed,slachtoffer3,wwb,handelsvoorraad,tapgesprek,kwekerij,kantonrechter,bekering,microgram,bolletje,alcoholmisbruik,eur,pij
3,wangedrag,tussentijdse,echtgenoot,lokalen,isd,ontbinding,prostitutiewerkzaamheden,arbeidsovereenkomst,tenamfetamine,bediening,hennephars,ovc,tapgesprek,psychotische,aanranding,lading,ontuchtige,belastbaar,zaktelefoon,lt,vergunning,ontbinding,gemerkt,vi,ondertoezichtstelling,aanvrager,vw,schatting,vito,apaan,horeca,luchthaven,lokalen,crisismaatregel,jerrycans,dwangverpleging,curaçao,levensgevaar,ingezetenen,misdrijfs,eab,fml,kocht,2012001505,bewindvoerder,professioneel,klaagschrift,buddyseat,speed,getrapt,woningsluiting,bibob,schutter,gi,vallende,overvallers,verkeersongeval,ambtsedig,slachtoffer4,inlichtingenverplichting,checkpoint,map,enexis,grieven,coffeeshop,geneesmiddelen,kocht,motorrijtuigen,420bis,kinderrechter
4,koninklijke,38s,ontbinding,beleidsregel,eigenen,eiseres,273f,geschiktheid,metamfetamine,rechtmatige,cocaine,pd,nnman,pbc,noodweerexces,ect,seks,ib,koffer,gt,gedaagden,ontruiming,fotokopie,herroepen,jeugdzorg,subjectieve,staatssecretaris,uitgaven,bestelbus,aceton,horecabedrijf,koffers,onverwijlde,accommodatie,lfo,verlof,1960,gesticht,drugstoerisme,laptop,uitvaardigende,arbeidsongeschiktheid,rov,pv,trouw,knalvuurwerk,vakman,bromfiets,vloeistof,aangevers,lokaal,horeca,schietincident,ondertoezichtstelling,object,supermarkt,aanrijding,relatering,slachtoffer5,terugvordering,gedoogverklaring,duitse,stroom,grief,bestemmingsplan,ontzegging,dealers,diagnose,bankrekening,77aa
5,marechaussee,38n,schuldsaneringsregeling,woningsluiting,damesfiets,tekortkoming,overwicht,alcoholmisbruik,tabletten,belaging,plantaardige,map,bedrijfsnaam,psychose,ogenblikkelijke,vrachtwagen,binnendringen,omzet,haarlemmermeer,boord,beleidsregel,arbeidsovereenkomst,deswege,vervroegde,jeugdhulp,screeningsprofiel,ongewenstverklaring,genoten,postnl,geregistreerde,erven,dossierparagraaf,leefklimaat,zorgplan,vervaardiging,verlengen,voogdijraad,stichten,gedoogbeleid,woninginbraak,autoriteit,arbeidsdeskundige,dealer,vliegtuig,goeder,vuurwerkbesluit,klaagster,besmetting,milliliter,stompen,damoclesbeleid,horecabedrijf,schoten,z1,pl0600,kluis,rijdende,vnn,slachtoffer6,intrekking,gedoogbeleid,nn,verbreking,ontbinding,coffeeshops,grenswaarde,afnemer,rijvaardigheid,biljetten,jeugdstrafrecht
6,bewustzijn,beveiliging,kantonrechter,onverwijlde,portemonnee,woonstad,prostituee,cbr,mmda,pij,mengsel,kasboek,ovc,terbeschikkinggestelde,dichtgeknepen,ananassen,verkrachting,inkomstenbelasting,horloge,gerecht,beleidsregels,omgangsregeling,ingevoegde,365,pleegouders,jds,bma,medeveroordeelde,zending,jerrycans,eiseressen,rolkoffer,beleidsregels,beïnvloedende,vaten,resocialisatie,opiumlandsverordening,brandbare,lokale,eigenen,uitlevering,arbeidsongeschikt,telastegelegde,haarlemmermeer,onbetaald,gemeen,opgeëiste,injecteren,gamma,bankpas,leefklimaat,verordening,afgevuurd,xxxxxxxx,pl2000,cafetaria,ontzegging,gespreksgegevens,medeverdachte1,abw,exploitatie,xx,hennepteelt,ontruiming,iran,bloedafname,dealer,wvw,versnijdingsmiddelen,kinderbescherming
7,betrokkene1,veelpleger,ontruiming,lokaal,framenummer,omwonenden,bewogen,dringende,speed,kortdurende,substanties,winterswijk,sessienummer,schizofrenie,gemoedsbeweging,schip,bewustzijn,awr,computer,vaartuig,exploitatievergunning,grieven,cumulatief,15i,opvoeding,beleidsregels,eisers,ontnemingsvordering,sprinter,verordening,yin,reis,woningsluiting,toedienen,afval,proefverlof,naf,vuur,coffeeshopbeleid,inbraken,weigeringsgrond,zw,nt,persoonsdossier,toelating,duchten,octrooi,jeugddetentie,gammahydroxyboterzuur,trappen,verzoekers,intrekking,schietpartij,plaatsnaam,bijzonderheden,bivakmuts,onvoorzichtig,strafuitsluitingsgrond,nijmegen,appellante,exploitatievergunning,koper,teelt,tekortkoming,gedaagde,bestuurd,slikken,ministeriële,bankbiljetten,77g
8,militairen,driemaal,grieven,leefklimaat,heling,woonbron,voortvloeiend,transitievergoeding,ethylmda,belediging,frankrijk,zd01,oke,37a,borst,containernummer,meisje,premie,grijs,antillen,kantonrechter,bewindvoerder,taalfouten,15c,pleeggezin,taxichauffeur,vb,kasopstelling,dhl,zwavelzuur,yang,bagagelabel,lokaal,geneesheer,methamfetamine,transmuraal,vuurwapenverordening,benzine,beleidsnota,toeëigening,garantie,bezwaarverzekeringsarts,diacetylmorfine,c4,288,particulier,ep,eigenen,flesje,openlijk,erven,plaatselijke,voorbedachte,skatebaan,beslagnummer,overvaller,kilometer,misslagen,getuige1,teruggevorderd,gedoogde,pseudokoop,hennepstekken,appel,beleidsregels,gehalte,diacetylmorfine,ongeldigverklaring,paracetamol,overval
9,kolonel,winkeldiefstal,lokalen,zienswijze,elektrische,ontruimen,misleiding,werknemer,hydroxy,fpa,hash,nn,vrachtwagen,pieter,hevige,verlengde,borsten,navorderingsaanslag,instapkaart,aruba,verweerders,grief,strafuitsluitingsgronden,gedeeltelijke,verzorging,chauffeurskaart,ongewenst,fl,benz,vervaardiging,bedrijfspand,ingecheckt,echtgenoot,wenden,chemicaliën,ribw,curatele,verbrand,gedoogd,ruit,lidstaat,functies,kogelpatronen,luchthaven,schuldenlast,levensgevaar,court,aangevers,fles,vuist,bestuursorgaan,gemeentewet,hulzen,vertegenwoordigster,pl0100,gewapende,bestuurde,qat,slachtoffer7,wethouders,gedoogvoorwaarden,tap,hennepplantage,principaal,christendom,wvw,suriname,ongeldig,bovenomschreven,77z
