AGAMS	Ambtenarengerecht Amsterdam (opgeheven)
AGARN	Ambtenarengerecht Arnhem (opgeheven)
AGGRO	Ambtenarengerecht Groningen (opgeheven)
AGHAA	Ambtenarengerecht Haarlem (opgeheven)
AGROE	Ambtenarengerecht Roermond (opgeheven)
AGROT	Ambtenarengerecht Rotterdam (opgeheven)
AGSGR	Ambtenarengerecht 's-Gravenhage (opgeheven)
AGSHE	Ambtenarengerecht 's-Hertogenbosch (opgeheven)
AGUTR	Ambtenarengerecht Utrecht (opgeheven)
AGZWO	Ambtenarengerecht Zwolle (opgeheven)
CBB	College van Beroep voor het bedrijfsleven
CRVB	Centrale Raad van Beroep
CVBSTUF	College van Beroep Studiefinanciering (opgeheven)
DETARCO	Tariefcommissie (opgeheven)
GHAMS	Gerechtshof Amsterdam
GHARL	Gerechtshof Arnhem-Leeuwarden
GHARN	Gerechtshof Arnhem (opgeheven)
GHDHA	Gerechtshof Den Haag
GHLEE	Gerechtshof Leeuwarden (opgeheven)
GHSGR	Gerechtshof 's-Gravenhage (opgeheven)
GHSHE	Gerechtshof 's-Hertogenbosch
HR	Hoge Raad
KTGAAR	Kantongerecht Alphen aan den Rijn (opgeheven)
KTGALK	Kantongerecht Alkmaar (opgeheven)
KTGALM	Kantongerecht Almelo (opgeheven)
KTGAMF	Kantongerecht Amersfoort (opgeheven)
KTGAMS	Kantongerecht Amsterdam (opgeheven)
KTGAPD	Kantongerecht Apeldoorn (opgeheven)
KTGARN	Kantongerecht Arnhem (opgeheven)
KTGASS	Kantongerecht Assen (opgeheven)
KTGBEE	Kantongerecht Beetsterzwaag (opgeheven)
KTGBOX	Kantongerecht Boxmeer (opgeheven)
KTGBOZ	Kantongerecht Bergen op Zoom (opgeheven)
KTGBRE	Kantongerecht Breda (opgeheven)
KTGBRI	Kantongerecht Brielle (opgeheven)
KTGDEL	Kantongerecht Delft (opgeheven)
KTGDEV	Kantongerecht Deventer (opgeheven)
KTGDHD	Kantongerecht Den Helder (opgeheven)
KTGDOR	Kantongerecht Dordrecht (opgeheven)
KTGEIN	Kantongerecht Eindhoven (opgeheven)
KTGEMM	Kantongerecht Emmen (opgeheven)
KTGENS	Kantongerecht Enschede (opgeheven)
KTGGNL	Kantongerecht Groenlo (opgeheven)
KTGGOU	Kantongerecht Gouda (opgeheven)
KTGGRC	Kantongerecht Gorinchem (opgeheven)
KTGGRO	Kantongerecht Groningen (opgeheven)
KTGHAA	Kantongerecht Haarlem (opgeheven)
KTGHAR	Kantongerecht Harderwijk (opgeheven)
KTGHFD	Kantongerecht Hoofddorp (opgeheven)
KTGHIL	Kantongerecht Hilversum (opgeheven)
KTGHMD	Kantongerecht Helmond (opgeheven)
KTGHRL	Kantongerecht Heerlen (opgeheven)
KTGHRN	Kantongerecht Hoorn (opgeheven)
KTGHRV	Kantongerecht Heerenveen (opgeheven)
KTGLDN	Kantongerecht Leiden (opgeheven)
KTGLEE	Kantongerecht Leeuwarden (opgeheven)
KTGLLY	Kantongerecht Lelystad (opgeheven)
KTGMAA	Kantongerecht Maastricht (opgeheven)
KTGMEP	Kantongerecht Meppel (opgeheven)
KTGMID	Kantongerecht Middelburg (opgeheven)
KTGNMG	Kantongerecht Nijmegen (opgeheven)
KTGOBL	Kantongerecht Oud-Beijerland (opgeheven)
KTGOOS	Kantongerecht Oostburg (opgeheven)
KTGPAR	Kantongerecht Parimaribo (opgeheven)
KTGROE	Kantongerecht Roermond (opgeheven)
KTGROT	Kantongerecht Rotterdam (opgeheven)
KTGSCH	Kantongerecht Schiedam (opgeheven)
KTGSGR	Kantongerecht 's-Gravenhage (opgeheven)
KTGSHE	Kantongerecht 's-Hertogenbosch (opgeheven)
KTGSIT	Kantongerecht Sittard (opgeheven)
KTGSNK	Kantongerecht Sneek (opgeheven)
KTGSOM	Kantongerecht Sommelsdijk (opgeheven)
KTGSTW	Kantongerecht Steenwijk (opgeheven)
KTGTIE	Kantongerecht Tiel (opgeheven)
KTGTIL	Kantongerecht Tilburg (opgeheven)
KTGTRB	Kantongerecht Terborg (opgeheven)
KTGTRN	Kantongerecht Terneuzen (opgeheven)
KTGUTR	Kantongerecht Utrecht (opgeheven)
KTGVEE	Kantongerecht Veendam (opgeheven)
KTGVEN	Kantongerecht Venlo (opgeheven)
KTGWAG	Kantongerecht Wageningen (opgeheven)
KTGWIN	Kantongerecht Winschoten (opgeheven)
KTGZAA	Kantongerecht Zaandam (opgeheven)
KTGZEV	Kantongerecht Zevenbergen (opgeheven)
KTGZIE	Kantongerecht Zierikzee (opgeheven)
KTGZUI	Kantongerecht Zuidbroek (opgeheven)
KTGZUT	Kantongerecht Zutphen (opgeheven)
KTGZWO	Kantongerecht Zwolle (opgeheven)
OCHM	Constitutioneel Hof Sint Maarten
OGAACMB	Gerecht in Ambtenarenzaken van Aruba, Curaçao, Sint Maarten en van Bonaire, Sint Eustatius en Saba
OGANA	Gerecht in Ambtenarenzaken van de Nederlandse Antillen (opgeheven)
OGEAA	Gerecht in Eerste Aanleg van Aruba
OGEAB	Gerecht in Eerste Aanleg Bonaire (opgeheven)
OGEABES	Gerecht in eerste aanleg van Bonaire, Sint Eustatius en Saba
OGEAC	Gerecht in eerste aanleg van Curaçao
OGEAM	Gerecht in eerste aanleg van Sint Maarten
OGEANA	Gerecht in Eerste Aanleg van de Nederlandse Antillen (opgeheven)
OGHACMB	Gemeenschappelijk Hof van Justitie van Aruba, Curaçao, Sint Maarten en van Bonaire, Sint Eustatius en Saba
OGHNAA	Gemeenschappelijk Hof van Justitie van de Nederlandse Antillen en Aruba (opgeheven)
OHJNA	Hof van Justitie van de Nederlandse Antillen (opgeheven)
ORBAACM	Raad van Beroep in Ambtenarenzaken van Aruba, Curaçao, Sint Maarten en van Bonaire, Sint Eustatius en Saba
ORBANAA	Raad van Beroep in Ambtenarenzaken (Nederlandse Antillen en Aruba) (opgeheven)
ORBBACM	Raad van Beroep voor Belastingzaken van Aruba, Curaçao, Sint Maarten en van Bonaire, Sint Eustatius en Saba
ORBBNAA	Raad van Beroep voor Belastingzaken (Nederlandse Antillen en Aruba) (opgeheven)
PHR	Parket bij de Hoge Raad
RBALK	Rechtbank Alkmaar (opgeheven)
RBALM	Rechtbank Almelo (opgeheven)
RBAMS	Rechtbank Amsterdam
RBARN	Rechtbank Arnhem (opgeheven)
RBASS	Rechtbank Assen (opgeheven)
RBBRE	Rechtbank Breda (opgeheven)
RBDHA	Rechtbank Den Haag
